1,polyethylene
2,polyethylene oxidized
3,polyethylene-chlorinated
4,polypropylene
5,polystyrene
6,polycarbonate
7,polyamide
8,polyvinylchloride
9,cellulose chemical modified
10,nitrile rubber
11,polyester
12,acrylates/PUR/varnish
13,animal fur
14,plant fibres
15,sand
16,polysulfone
17,polyetheretherketon
18,polychloroprene
19,chitin
20,polyisoprene chlorinated
21,polylactide acide
22,polycaprolactone
23,ethylene-vinyl-acetate
24,polyimide
25,polyoxymethylene
26,polybutadiene
27,acrylonitrile-butadiene
28,rubber type 1
29,rubber type 2
30,charcoal
31,coal
32,rubber type 3
